epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,764.605,1.30387,3.20983,0.98831,0.59513,0.13924,0.15934,0.09685,1.46365,4.92845,1.27769,0.000307289,0.000307289,0.000307289
44,783.328,1.30549,3.07143,1.00506,0.59513,0.13924,0.15934,0.09685,1.46365,4.92845,1.27769,0.000302082,0.000302082,0.000302082
45,801.632,1.28753,3.27308,0.97344,0.59513,0.13924,0.15934,0.09685,1.46365,4.92845,1.27769,0.000296874,0.000296874,0.000296874
46,819.96,1.43147,3.22334,1.051,0.58446,0.14304,0.18602,0.10417,1.47181,4.91869,1.25715,0.000291667,0.000291667,0.000291667
47,837.822,1.29704,3.15456,0.95199,0.58446,0.14304,0.18602,0.10417,1.47181,4.91869,1.25715,0.00028646,0.00028646,0.00028646
48,856.629,1.26591,2.97055,0.95743,0.96601,0.1,0.19837,0.10916,1.45292,4.93594,1.19815,0.000281252,0.000281252,0.000281252
49,874.071,1.14158,2.93316,0.92932,0.96601,0.1,0.19837,0.10916,1.45292,4.93594,1.19815,0.000276045,0.000276045,0.000276045
50,891.906,1.29764,3.14314,0.97114,0.96601,0.1,0.19837,0.10916,1.45292,4.93594,1.19815,0.000270837,0.000270837,0.000270837
51,910.052,1.27713,3.05217,0.97678,0.96492,0.1,0.19232,0.10602,1.44931,4.80021,1.19912,0.00026563,0.00026563,0.00026563
52,927.668,1.18495,2.80444,0.96215,0.96492,0.1,0.19232,0.10602,1.44931,4.80021,1.19912,0.000260423,0.000260423,0.000260423
53,945.09,1.31367,3.31791,1.001,0.96492,0.1,0.19232,0.10602,1.44931,4.80021,1.19912,0.000255215,0.000255215,0.000255215
54,962.632,1.23983,2.90519,0.9937,0.63687,0.12203,0.19809,0.11992,1.38955,4.61181,1.18796,0.000250008,0.000250008,0.000250008
55,980.106,1.18545,2.77739,0.97165,0.63687,0.12203,0.19809,0.11992,1.38955,4.61181,1.18796,0.0002448,0.0002448,0.0002448
56,997.578,1.26158,2.63313,0.97625,0.97364,0.1,0.20149,0.12733,1.36926,4.28662,1.17152,0.000239593,0.000239593,0.000239593
57,1014.76,1.15849,2.74239,0.94857,0.97364,0.1,0.20149,0.12733,1.36926,4.28662,1.17152,0.000234386,0.000234386,0.000234386
58,1032.02,1.06779,3.14785,0.92352,0.97364,0.1,0.20149,0.12733,1.36926,4.28662,1.17152,0.000229178,0.000229178,0.000229178
59,1049.72,1.2325,2.65155,1.01516,0.7522,0.1131,0.18938,0.11664,1.36692,4.34966,1.18199,0.000223971,0.000223971,0.000223971
60,1067.18,1.18817,2.71762,0.95309,0.7522,0.1131,0.18938,0.11664,1.36692,4.34966,1.18199,0.000218763,0.000218763,0.000218763
61,1084.66,1.19749,2.97055,0.9593,0.7522,0.1131,0.18938,0.11664,1.36692,4.34966,1.18199,0.000213556,0.000213556,0.000213556
62,1102.05,1.13629,3.12988,0.89685,0.98976,0.1,0.18869,0.11431,1.3928,4.2114,1.17512,0.000208349,0.000208349,0.000208349
